,Pais,Confirmadors,Novos_Confirmados,Obitos,Novos_Obitos,Recuperados,Novos_Recuperados,Casos_Ativos,Total_Testes,Populacao
26,Bangladesh,"1,433,396","7,535","24,547",198,"1,314,916","12,950","93,933","8,480,814","166,535,695"
27,Japan,"1,159,945","14,854","15,431",23,"982,640","14,260","161,874","19,965,179","126,039,853"
28,Belgium,"1,154,879","1,420","25,299",3,"1,078,126","2,215","51,454","18,052,658","11,646,437"
29,Sweden,"1,112,958",,"14,622",,"1,080,022",16,"18,314","11,536,406","10,170,176"
30,Pakistan,"1,105,300","3,221","24,573",95,"993,304","4,291","87,423","16,950,196","225,709,450"
31,Romania,"1,088,053",544,"34,359",6,"1,050,342",384,"3,352","11,015,953","19,092,905"
32,Portugal,"1,006,588","2,118","17,584",11,"945,259","3,666","43,745","16,203,074","10,163,183"
33,Israel,"956,310","6,775","6,704",17,"891,723","3,521","57,883","17,849,781","9,326,000"
34,Thailand,"948,442","20,128","7,973",239,"730,437","20,791","210,032","8,129,670","69,997,322"
35,Hungary,"810,549",45,"30,042",1,"768,519",211,"11,988","6,449,264","9,632,692"
36,Jordan,"785,697","1,066","10,239",17,"763,418",897,"12,040","8,867,552","10,317,115"
37,Morocco,"772,394","9,041","11,242",123,"681,705","8,589","79,447","8,417,450","37,402,684"
38,Switzerland,"744,106","3,150","10,929",2,"697,064",,"36,113","9,409,657","8,725,878"
39,Nepal,"737,294","2,456","10,354",27,"687,069","1,929","39,871","3,779,230","29,725,553"
40,Serbia,"734,816","1,484","7,177",3,"714,093",285,"13,546","4,845,253","8,697,679"
41,UAE,"704,000","1,115","2,006",3,"682,809","1,544","19,185","70,341,599","10,024,815"
42,Kazakhstan,"701,345","6,869","7,751",99,"577,882","5,848","115,712","11,575,012","19,029,342"
43,Austria,"670,372",866,"10,757",,"650,408",543,"9,207","72,155,255","9,064,269"
44,Tunisia,"626,750","1,062","22,025",120,"573,975","4,239","30,750","2,409,634","11,957,765"
45,Lebanon,"584,896","1,178","7,988",6,"542,954",444,"33,954","4,759,054","6,790,971"
46,Greece,"543,749","4,206","13,220",16,"493,468","2,774","37,061","14,257,566","10,365,628"
47,Saudi Arabia,"539,698",569,"8,431",12,"524,765",704,"6,502","26,565,684","35,423,285"
48,Cuba,"536,609","9,772","4,156",68,"488,238","7,588","44,215","7,244,102","11,318,823"
49,Ecuador,"493,767",,"31,870",,"443,880",,"18,017","1,719,064","17,944,211"
50,Georgia,"490,462","6,208","6,483",47,"429,190","3,539","54,789","7,458,993","3,980,534"
51,Bolivia,"482,428",,"18,185",,"421,980",,"42,263","2,184,034","11,852,069"
52,Belarus,"462,794",597,"3,625",12,"456,666",473,"2,503","7,560,996","9,445,819"
53,Paraguay,"456,842",,"15,455",,"433,039",,"8,348","1,735,585","7,231,083"
54,Panama,"448,268",,"6,962",,"430,909",,"10,397","3,525,245","4,391,110"
55,Bulgaria,"435,940","1,405","18,395",19,"400,562",160,"16,983","3,925,423","6,889,426"
56,Costa Rica,"434,081","1,932","5,269",14,"351,179",416,"77,633","1,866,579","5,146,471"
57,Guatemala,"417,620","3,823","11,219",30,"364,533","3,206","41,868","2,031,678","18,287,843"
58,Kuwait,"407,139",256,"2,395",2,"398,393",526,"6,351","3,621,190","4,341,573"
59,Slovakia,"393,610",74,"12,546",2,"380,207",41,857,"3,246,178","5,462,623"
60,Uruguay,"383,505",133,"6,007",3,"376,130",125,"1,368","3,224,199","3,487,292"
61,Azerbaijan,"373,175","3,322","5,188",18,"340,174",847,"27,813","4,235,142","10,242,033"
62,Croatia,"367,409",341,"8,288",3,"357,318",253,"1,803","2,417,389","4,076,707"
63,Sri Lanka,"365,683","3,609","6,434",171,"314,340","2,283","44,909","4,575,585","21,514,383"
64,Myanmar,"360,291","3,306","13,623",178,"279,488","3,972","67,180","3,371,634","54,820,494"
65,Dominican Republic,"346,510",51,"3,985",,"336,373",25,"6,152","1,910,033","10,970,320"
66,Denmark,"332,622",886,"2,562",2,"317,084",904,"12,976","78,870,933","5,815,181"
67,Ireland,"327,684","1,496","5,059",,"279,451","1,179","43,174","4,729,538","4,999,838"
68,Palestine,"321,031",,"3,625",,"313,448",,"3,958","2,061,535","5,234,489"
69,Venezuela,"319,955",,"3,815",,"306,275",,"9,865","3,359,014","28,345,088"
70,Honduras,"319,831","1,327","8,440",21,"104,291",95,"207,100","929,028","10,081,660"
71,Oman,"300,581",173,"4,007",8,"288,922",220,"7,652","1,550,000","5,252,295"
72,Vietnam,"293,301","9,605","6,472",331,"111,308","4,331","175,521","15,271,562","98,324,291"
73,Ethiopia,"290,818",856,"4,495",6,"265,663",74,"20,660","3,127,281","118,158,035"
74,Lithuania,"290,766",560,"4,458",4,"273,811",767,"12,497","4,245,728","2,679,396"
75,Libya,"286,894","2,276","3,956",23,"208,551","1,387","74,387","1,435,917","6,976,360"
76,Egypt,"285,465",,"16,625",,"234,250",,"34,590","3,068,679","104,502,376"
77,Bahrain,"271,130",105,"1,384",,"268,630",99,"1,116","5,709,466","1,767,777"
78,Moldova,"262,589",345,"6,320",7,"254,290",147,"1,979","1,499,545","4,023,392"
79,Slovenia,"261,804",318,"4,433",,"255,057",181,"2,314","1,416,341","2,079,260"
80,Armenia,"235,171",357,"4,713",11,"223,070",269,"7,388","1,446,731","2,969,484"
81,Qatar,"229,697",269,601,,"226,389",231,"2,707","2,425,754","2,807,805"
82,S. Korea,"226,854","1,373","2,173",6,"197,224","1,026","27,457","12,404,977","51,318,912"
83,Kenya,"222,894","1,488","4,354",4,"205,912","1,990","12,628","2,268,923","55,100,770"
84,Bosnia and Herzegovina,"207,847",276,"9,716",5,"192,218",62,"5,913","1,106,080","3,257,797"
85,Zambia,"202,787",358,"3,550",12,"196,724",372,"2,513","2,187,911","18,961,099"
86,Algeria,"188,663",695,"4,867",37,"127,276",615,"56,520","230,861","44,740,613"
87,Mongolia,"184,950","1,298",884,4,"176,020",,"8,046","3,446,882","3,337,623"
88,Nigeria,"183,444",357,"2,229",6,"167,459",149,"13,756","2,648,684","211,870,954"
89,Kyrgyzstan,"172,668",341,"2,457",6,"163,810",561,"6,401","1,604,393","6,645,159"
90,North Macedonia,"163,452",995,"5,574",14,"151,144",184,"6,734","1,073,017","2,083,278"
91,Afghanistan,"152,363",120,"7,043",12,"107,927",895,"37,393","746,793","39,912,306"
92,Norway,"145,761",747,810,1,"88,952",,"55,999","6,775,622","5,468,961"
93,Uzbekistan,"144,764",846,987,6,"137,457",885,"6,320","1,377,915","34,014,540"
94,Botswana,"142,380",,"2,043",,"126,597",,"13,740","1,588,907","2,404,945"
95,Latvia,"140,325",154,"2,565",2,"136,481",112,"1,279","3,263,764","1,862,658"
96,Mozambique,"140,071","1,033","1,748",17,"121,449","1,890","16,874","811,132","32,237,040"
97,Estonia,"137,514",358,"1,279",,"130,850",268,"5,385","1,694,247","1,327,540"
98,Albania,"136,598",451,"2,468",2,"130,755",55,"3,375","971,712","2,874,255"
99,Namibia,"122,699",154,"3,288",3,"116,483","1,074","2,928","638,995","2,592,599"
100,Zimbabwe,"121,046",958,"4,156",47,"100,211","2,888","16,679","1,195,318","15,106,170"
101,Finland,"118,647",665,995,,"46,000",,"71,652","6,227,783","5,550,420"
102,Ghana,"111,232",,930,,"104,298",,"6,004","1,528,732","31,801,165"
103,Cyprus,"109,665",412,464,3,"90,755",,"18,446","9,366,973","1,217,254"
104,Montenegro,"107,041",548,"1,651",5,"100,751",219,"4,639","565,446","628,156"
105,Uganda,"97,186",62,"2,905",12,"95,217",,-936,"1,530,107","47,359,030"
106,China,"94,472",42,"4,636",,"87,908",52,"1,928","160,000,000","1,439,323,776"
107,El Salvador,"90,129",,"2,804",10,"77,768",,"9,557","1,170,330","6,523,065"
108,Cambodia,"86,597",556,"1,718",14,"81,918",716,"2,961","2,012,288","16,979,135"
109,Cameroon,"82,454",,"1,338",,"80,433",,683,"1,751,774","27,287,100"
110,Rwanda,"80,694",557,977,8,"45,170",88,"34,547","2,250,540","13,312,385"
111,Maldives,"79,419",130,222,,"77,506",133,"1,691","1,268,521","551,240"
112,Luxembourg,"74,779",89,828,,"73,234",4,717,"3,363,462","637,423"
113,Senegal,"71,002",148,"1,625",11,"54,870",513,"14,507","703,348","17,238,727"
114,Singapore,"66,281",56,45,1,"65,062",151,"1,174","16,614,807","5,902,137"
115,Jamaica,"59,088",630,"1,320",9,"47,540",60,"10,228","522,763","2,975,725"
116,Malawi,"58,465",244,"1,998",15,"43,912",634,"12,555","370,628","19,684,343"
117,DRC,"53,501",94,"1,050",,"30,380",,"22,071","297,660","92,612,029"
118,Ivory Coast,"52,583",160,365,2,"51,580",184,638,"843,716","27,111,023"
119,Angola,"44,972",233,"1,118",15,"41,781",208,"2,073","826,140","34,011,531"
120,Réunion,"43,835",,298,,"38,315",,"5,222","138,598","902,506"
121,Madagascar,"42,819",,954,,"41,251",,614,"234,134","28,489,422"
