city,state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
Redenção,CE,29146,17.68,5152,102,0.35,1.98,80,1
Reriutaba,CE,18385,18.11,3330,31,0.17,0.93,37,0
Russas,CE,78882,13.60,10731,198,0.25,1.84,37,1
Saboeiro,CE,15788,7.42,1171,17,0.11,1.45,13,0
Salitre,CE,16635,6.85,1140,20,0.12,1.75,0,0
Santa Quitéria,CE,43711,12.23,5347,70,0.16,1.31,8,19
Santana do Acaraú,CE,32654,7.29,2379,86,0.26,3.61,7,3
Santana do Cariri,CE,17712,7.47,1324,29,0.16,2.19,4,1
Senador Pompeu,CE,25456,8.69,2211,61,0.24,2.76,-3,0
Senador Sá,CE,7691,15.11,1162,13,0.17,1.12,1,0
Sobral,CE,210711,12.97,27322,736,0.35,2.69,91,1
Solonópole,CE,18357,9.32,1711,35,0.19,2.04,1,0
São Benedito,CE,48131,8.62,4148,66,0.14,1.59,34,4
São Gonçalo do Amarante,CE,48869,14.63,7148,211,0.43,2.95,14,1
São João do Jaguaribe,CE,7601,10.52,800,9,0.12,1.12,5,0
São Luís do Curu,CE,13044,10.35,1350,39,0.30,2.89,1,0
Tabuleiro do Norte,CE,30807,16.66,5132,71,0.23,1.38,-1,0
Tamboril,CE,26225,10.49,2750,75,0.29,2.73,106,3
Tarrafas,CE,8573,6.73,577,12,0.14,2.08,22,0
Tauá,CE,59062,14.68,8673,173,0.29,1.99,72,0
Tejuçuoca,CE,19371,9.32,1806,31,0.16,1.72,10,0
Tianguá,CE,76537,12.57,9620,185,0.24,1.92,47,0
Trairi,CE,56291,4.28,2412,94,0.17,3.90,52,2
Tururu,CE,16431,8.96,1473,38,0.23,2.58,3,0
Ubajara,CE,35047,5.46,1915,41,0.12,2.14,3,0
Umari,CE,7736,6.86,531,9,0.12,1.69,3,0
Umirim,CE,19903,4.94,983,40,0.20,4.07,0,0
Uruburetama,CE,22040,8.36,1842,59,0.27,3.20,4,2
Uruoca,CE,13915,10.78,1500,32,0.23,2.13,-4,1
Varjota,CE,18471,13.86,2560,30,0.16,1.17,23,1
Viçosa do Ceará,CE,61410,8.37,5138,150,0.24,2.92,27,0
Várzea Alegre,CE,40903,9.57,3913,74,0.18,1.89,347,3
Brasília,DF,3055149,13.14,401413,8904,0.29,2.22,548,18
Afonso Cláudio,ES,30455,11.51,3507,61,0.20,1.74,7,0
Alegre,ES,29975,9.50,2848,62,0.21,2.18,13,0
