city,state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
Tomé-Açu,PA,64030,4.11,2629,81,0.13,3.08,0,0
Tracuateua,PA,31257,2.36,738,20,0.06,2.71,0,0
Trairão,PA,19168,7.16,1372,25,0.13,1.82,0,0
Tucumã,PA,40136,12.57,5045,81,0.20,1.61,0,0
Tucuruí,PA,115144,6.62,7617,250,0.22,3.28,2,0
Ulianópolis,PA,60761,4.17,2533,24,0.04,0.95,0,0
Uruará,PA,45435,4.71,2140,72,0.16,3.36,0,0
Vigia,PA,54172,5.28,2861,85,0.16,2.97,0,0
Viseu,PA,61751,2.50,1544,35,0.06,2.27,0,0
Vitória do Xingu,PA,15279,13.72,2096,26,0.17,1.24,0,0
Xinguara,PA,45086,10.47,4722,76,0.17,1.61,0,0
Água Azul do Norte,PA,27615,4.51,1246,17,0.06,1.36,0,0
Óbidos,PA,52306,12.58,6580,131,0.25,1.99,0,0
Aguiar,PB,5630,9.31,524,5,0.09,0.95,0,0
Alagoa Grande,PB,28439,14.42,4102,71,0.25,1.73,-14,0
Alagoa Nova,PB,20921,6.65,1392,22,0.11,1.58,20,1
Alagoinha,PB,14560,14.18,2065,25,0.17,1.21,0,1
Alcantil,PB,5509,11.85,653,7,0.13,1.07,17,0
Algodão de Jandaíra,PB,2577,9.66,249,1,0.04,0.40,0,0
Alhandra,PB,19727,12.22,2410,36,0.18,1.49,7,0
Amparo,PB,2251,7.68,173,4,0.18,2.30,2,0
Aparecida,PB,8416,11.55,972,14,0.17,1.44,2,1
Arara,PB,13542,7.67,1039,29,0.21,2.79,1,0
Araruna,PB,20463,3.43,701,16,0.08,2.28,4,0
Araçagi,PB,16921,9.76,1651,24,0.14,1.45,8,0
Areia,PB,22656,8.43,1909,30,0.13,1.57,6,0
Areia de Baraúnas,PB,2116,9.87,209,4,0.19,1.90,0,0
Areial,PB,7027,5.22,367,12,0.17,3.26,1,0
Aroeiras,PB,19116,9.83,1880,16,0.08,0.85,2,1
Assunção,PB,4029,9.98,402,5,0.12,1.24,0,0
Bananeiras,PB,21269,7.13,1517,26,0.12,1.71,4,0
Baraúna,PB,4964,14.00,695,9,0.18,1.29,1,0
Barra de Santa Rosa,PB,15497,11.03,1710,12,0.08,0.70,0,0
Barra de Santana,PB,8349,7.64,638,7,0.08,1.10,1,0
Barra de São Miguel,PB,6065,10.40,631,7,0.12,1.11,1,0
Bayeux,PB,97203,8.33,8099,247,0.25,3.05,46,1
Baía da Traição,PB,9096,14.31,1302,12,0.13,0.92,2,0
Belém,PB,17705,13.39,2371,45,0.25,1.90,2,0
Belém do Brejo do Cruz,PB,7349,7.25,533,5,0.07,0.94,0,0
Bernardino Batista,PB,3536,8.23,291,1,0.03,0.34,0,0
Boa Ventura,PB,5307,14.37,763,12,0.23,1.57,8,0
Boa Vista,PB,7136,11.71,836,15,0.21,1.79,2,0
Bom Jesus,PB,2575,7.38,190,3,0.12,1.57,0,0
Bom Sucesso,PB,4956,10.09,500,4,0.08,0.80,1,0
Bonito de Santa Fé,PB,12022,4.61,554,14,0.12,2.52,0,0
Boqueirão,PB,17870,12.45,2225,39,0.22,1.75,27,0
Borborema,PB,5287,7.30,386,13,0.25,3.36,0,0
Brejo do Cruz,PB,14206,13.56,1927,23,0.16,1.19,4,0
Brejo dos Santos,PB,6464,11.89,769,8,0.12,1.04,2,0
Caaporã,PB,21955,9.68,2126,34,0.15,1.60,3,1
Cabaceiras,PB,5661,7.82,443,4,0.07,0.90,1,0
Cabedelo,PB,68767,13.83,9512,199,0.29,2.09,66,0
Cachoeira dos Índios,PB,10305,8.85,912,15,0.15,1.64,3,0
Cacimba de Areia,PB,3695,1.49,55,4,0.11,7.14,0,0
Cacimba de Dentro,PB,17178,7.10,1220,34,0.20,2.78,0,0
Cacimbas,PB,7199,3.50,252,8,0.11,3.16,1,0
Caiçara,PB,7191,11.37,818,14,0.19,1.71,0,0
Cajazeiras,PB,62289,15.67,9759,149,0.24,1.53,16,2
Cajazeirinhas,PB,3205,6.61,212,1,0.03,0.47,0,0
Caldas Brandão,PB,6046,9.89,598,10,0.17,1.67,1,0
Camalaú,PB,6031,7.49,452,7,0.12,1.55,0,0
Campina Grande,PB,411807,10.10,41599,1068,0.26,2.57,212,5
Capim,PB,6620,3.56,236,10,0.15,4.22,0,0
Caraúbas,PB,4185,6.50,272,6,0.14,2.20,0,0
Carrapateira,PB,2687,16.26,437,6,0.22,1.37,0,0
Casserengue,PB,7499,13.88,1041,21,0.28,2.02,1,0
Catingueira,PB,4935,6.60,326,11,0.22,3.36,0,0
Catolé do Rocha,PB,30684,15.16,4653,59,0.19,1.27,10,1
Caturité,PB,4875,8.74,426,7,0.14,1.64,4,0
Conceição,PB,19007,4.61,876,27,0.14,3.08,0,0
Condado,PB,6658,8.62,574,10,0.15,1.74,0,0
Conde,PB,25010,11.33,2833,44,0.18,1.55,8,0
Congo,PB,4787,5.66,271,13,0.27,4.78,0,0
Coremas,PB,15441,11.31,1747,39,0.25,2.23,6,0
Coxixola,PB,1935,5.63,109,4,0.21,3.64,0,0
Cruz do Espírito Santo,PB,17461,6.56,1146,28,0.16,2.44,4,0
Cubati,PB,7832,7.12,558,14,0.18,2.50,2,0
Cuitegi,PB,6775,13.89,941,25,0.37,2.65,2,0
Cuité,PB,20334,9.01,1832,22,0.11,1.20,6,0
Cuité de Mamanguape,PB,6356,5.13,326,15,0.24,4.59,0,0
Curral Velho,PB,2512,17.99,452,1,0.04,0.22,0,0
Curral de Cima,PB,5218,10.06,525,4,0.08,0.76,1,0
Damião,PB,5370,9.22,495,4,0.07,0.81,0,0
Desterro,PB,8315,8.24,685,12,0.14,1.75,0,0
Diamante,PB,6528,11.84,773,10,0.15,1.29,2,0
Dona Inês,PB,10413,6.22,648,18,0.17,2.77,0,0
Duas Estradas,PB,3582,14.60,523,16,0.45,3.05,4,0
Emas,PB,3539,6.89,244,5,0.14,2.04,0,0
Esperança,PB,33199,16.09,5342,85,0.26,1.59,2,0
Fagundes,PB,11215,6.62,742,18,0.16,2.42,2,0
Frei Martinho,PB,2989,11.24,336,6,0.20,1.78,0,0
Gado Bravo,PB,8303,9.14,759,9,0.11,1.18,0,0
Guarabira,PB,59115,16.83,9952,146,0.25,1.47,17,0
Gurinhém,PB,14127,6.69,945,17,0.12,1.80,0,0
Gurjão,PB,3453,6.17,213,7,0.20,3.27,2,0
Ibiara,PB,5903,12.43,734,5,0.08,0.68,1,0
Igaracy,PB,6105,7.42,453,6,0.10,1.32,0,0
Imaculada,PB,11848,3.10,367,11,0.09,2.99,0,0
Ingá,PB,18144,16.65,3022,43,0.24,1.42,7,0
Itabaiana,PB,24419,13.08,3195,84,0.34,2.63,8,0
Itaporanga,PB,24828,11.98,2974,29,0.12,0.97,28,0
Itapororoca,PB,18823,13.02,2451,34,0.18,1.39,1,0
Itatuba,PB,11016,9.20,1014,19,0.17,1.87,1,0
Jacaraú,PB,14450,7.82,1130,31,0.21,2.74,24,0
Jericó,PB,7745,9.00,697,14,0.18,2.01,2,0
Joca Claudino,PB,2639,4.32,114,2,0.08,1.74,0,0
João Pessoa,PB,817511,12.61,103055,2878,0.35,2.79,116,9
Juarez Távora,PB,7976,12.40,989,12,0.15,1.21,0,0
Juazeirinho,PB,18298,4.96,908,15,0.08,1.65,3,0
Junco do Seridó,PB,7195,9.01,648,9,0.13,1.39,18,1
Juripiranga,PB,10793,13.35,1441,31,0.29,2.15,2,0
Juru,PB,9849,8.16,804,15,0.15,1.86,-1,0
Lagoa,PB,4653,4.15,193,3,0.06,1.55,0,0
Lagoa Seca,PB,27617,9.55,2637,45,0.16,1.71,12,1
Lagoa de Dentro,PB,7737,13.12,1015,9,0.12,0.89,2,0
Lastro,PB,2718,17.76,483,4,0.15,0.83,0,0
Livramento,PB,7265,13.45,977,6,0.08,0.61,4,0
Logradouro,PB,4369,8.88,388,10,0.23,2.57,2,0
Lucena,PB,13214,8.63,1140,19,0.14,1.67,15,0
Malta,PB,5752,7.82,450,12,0.21,2.66,0,1
Mamanguape,PB,45136,10.97,4950,80,0.18,1.62,9,0
Manaíra,PB,10972,4.75,521,6,0.05,1.15,6,0
Marcação,PB,8653,10.03,868,10,0.12,1.15,2,0
Mari,PB,21866,10.68,2336,43,0.20,1.84,7,1
Marizópolis,PB,6654,5.71,380,13,0.20,3.41,0,0
Massaranduba,PB,13998,8.97,1256,27,0.19,2.15,11,0
Mataraca,PB,8539,5.98,511,15,0.18,2.93,3,1
Matinhas,PB,4515,5.40,244,7,0.16,2.86,4,0
Mato Grosso,PB,2926,6.08,178,1,0.03,0.56,6,0
Maturéia,PB,6630,7.71,511,12,0.18,2.34,0,0
Mogeiro,PB,13261,8.55,1134,17,0.13,1.50,1,0
Montadas,PB,5738,5.61,322,6,0.10,1.86,0,0
Monte Horebe,PB,4842,11.40,552,7,0.14,1.27,0,0
Monteiro,PB,33433,14.22,4753,69,0.21,1.45,4,0
Mulungu,PB,9932,9.89,982,20,0.20,2.03,3,0
Mãe d'Água,PB,3999,6.58,263,8,0.20,3.03,0,0
Natuba,PB,10451,3.41,356,7,0.07,1.96,1,0
Nazarezinho,PB,7286,7.20,525,18,0.25,3.42,0,0
Nova Floresta,PB,10626,9.40,999,16,0.15,1.60,1,0
Nova Olinda,PB,5920,7.33,434,9,0.15,2.07,5,0
Nova Palmeira,PB,4959,11.88,589,5,0.10,0.85,1,0
Olho d'Água,PB,6462,6.25,404,8,0.12,1.98,1,0
Olivedos,PB,3961,7.62,302,5,0.13,1.65,0,1
Ouro Velho,PB,3046,11.75,358,2,0.07,0.56,1,0
Parari,PB,1758,14.10,248,2,0.11,0.80,1,0
Passagem,PB,2436,5.99,146,2,0.08,1.36,0,0
Patos,PB,108192,12.68,13714,251,0.23,1.83,20,1
Paulista,PB,12379,10.82,1339,11,0.09,0.82,0,0
Pedra Branca,PB,3802,11.41,434,6,0.16,1.38,4,0
Pedra Lavrada,PB,7899,3.85,304,1,0.01,0.33,2,0
Pedras de Fogo,PB,28533,9.14,2609,56,0.20,2.15,6,0
Pedro Régis,PB,6114,5.77,353,7,0.11,1.98,0,0
Piancó,PB,16111,13.69,2205,32,0.20,1.45,4,0
Picuí,PB,18720,11.07,2073,40,0.21,1.93,3,0
Pilar,PB,11977,11.00,1318,30,0.25,2.27,4,0
Pilões,PB,6576,3.74,246,9,0.14,3.64,0,0
Pilõezinhos,PB,4955,14.29,708,13,0.26,1.83,1,0
Pirpirituba,PB,10584,7.44,787,17,0.16,2.16,1,0
Pitimbu,PB,19275,8.68,1673,22,0.11,1.31,8,0
Pocinhos,PB,18708,7.19,1345,21,0.11,1.56,5,0
Pombal,PB,32802,17.76,5825,82,0.25,1.41,18,0
Poço Dantas,PB,3882,5.97,232,4,0.10,1.72,1,0
Poço de José de Moura,PB,4337,6.62,287,3,0.07,1.04,1,0
Prata,PB,4238,7.97,338,5,0.12,1.47,1,0
Princesa Isabel,PB,23549,8.82,2076,53,0.23,2.55,3,0
Puxinanã,PB,13741,5.75,790,7,0.05,0.88,2,0
Queimadas,PB,44179,8.95,3954,84,0.19,2.12,6,0
Quixaba,PB,1983,4.99,99,2,0.10,2.00,0,0
Remígio,PB,19798,6.81,1348,25,0.13,1.85,9,0
Riacho de Santo Antônio,PB,1974,8.00,158,5,0.25,3.14,2,0
Riacho dos Cavalos,PB,8541,9.67,826,17,0.20,2.06,2,0
Riachão,PB,3619,5.69,206,5,0.14,2.42,0,0
Riachão do Bacamarte,PB,4541,10.66,484,0,0.00,0.00,1,0
Riachão do Poço,PB,4540,6.32,287,6,0.13,2.08,0,0
Rio Tinto,PB,24218,10.83,2624,56,0.23,2.13,4,0
Salgadinho,PB,3931,4.50,177,1,0.03,0.56,0,0
Salgado de São Félix,PB,12131,7.57,918,12,0.10,1.31,4,0
Santa Cecília,PB,6541,7.34,480,4,0.06,0.83,0,0
Santa Cruz,PB,6581,6.84,450,8,0.12,1.77,0,0
Santa Helena,PB,5871,9.79,575,13,0.22,2.26,5,0
Santa Inês,PB,3593,3.62,130,7,0.19,5.34,0,0
Santa Luzia,PB,15426,14.28,2203,26,0.17,1.18,2,0
Santa Rita,PB,137349,6.83,9387,331,0.24,3.53,27,2
Santa Teresinha,PB,4562,5.81,265,13,0.28,4.89,5,0
Santana de Mangueira,PB,5129,7.91,406,4,0.08,0.98,1,0
Santana dos Garrotes,PB,6986,6.56,458,10,0.14,2.18,2,0
Santo André,PB,2509,15.90,399,3,0.12,0.75,1,0
Sapé,PB,52804,7.12,3759,114,0.22,3.03,7,0
Serra Branca,PB,13754,7.23,994,34,0.25,3.42,1,0
Serra Grande,PB,2916,7.61,222,6,0.21,2.69,0,0
Serra Redonda,PB,7021,9.51,668,11,0.16,1.64,4,0
Serra da Raiz,PB,3131,17.66,553,4,0.13,0.72,0,0
Serraria,PB,6068,10.51,638,11,0.18,1.72,1,0
Sertãozinho,PB,5089,13.18,671,7,0.14,1.04,2,0
Sobrado,PB,7815,7.09,554,9,0.12,1.62,1,0
Soledade,PB,15102,8.07,1219,14,0.09,1.15,3,1
Solânea,PB,26227,15.99,4193,50,0.19,1.19,61,0
Sossêgo,PB,3594,8.09,291,3,0.08,1.03,0,0
Sousa,PB,69723,10.25,7149,136,0.20,1.90,2,1
Sumé,PB,17031,16.12,2745,40,0.23,1.46,6,0
São Bentinho,PB,4566,10.09,461,6,0.13,1.30,0,0
São Bento,PB,34344,16.94,5817,67,0.20,1.15,1,0
São Domingos,PB,3097,10.49,325,2,0.06,0.61,0,0
São Domingos do Cariri,PB,2630,7.30,192,5,0.19,2.59,4,0
São Francisco,PB,3384,5.88,199,4,0.12,2.00,0,0
São José da Lagoa Tapada,PB,7626,13.33,1017,8,0.10,0.79,0,0
São José de Caiana,PB,6376,6.13,391,10,0.16,2.55,2,0
São José de Espinharas,PB,4656,10.11,471,6,0.13,1.27,0,0
São José de Piranhas,PB,20329,10.20,2074,43,0.21,2.07,3,0
São José de Princesa,PB,3950,5.82,230,1,0.03,0.43,0,0
São José do Bonfim,PB,3588,3.79,136,6,0.17,4.38,0,0
São José do Brejo do Cruz,PB,1811,10.04,182,1,0.06,0.55,0,0
São José do Sabugi,PB,4147,16.66,691,7,0.17,1.01,4,0
São José dos Cordeiros,PB,3618,3.62,131,6,0.17,4.55,0,0
São José dos Ramos,PB,5998,8.62,517,7,0.12,1.35,7,0
São João do Cariri,PB,4184,10.25,429,3,0.07,0.70,0,0
São João do Rio do Peixe,PB,18026,7.32,1319,32,0.18,2.42,1,0
São João do Tigre,PB,4415,4.80,212,5,0.11,2.35,0,0
São Mamede,PB,7702,11.51,887,32,0.42,3.60,13,0
São Miguel de Taipu,PB,7410,7.76,575,11,0.15,1.91,0,0
São Sebastião de Lagoa de Roça,PB,11728,10.03,1177,21,0.18,1.78,5,0
São Sebastião do Umbuzeiro,PB,3512,7.34,258,5,0.14,1.93,0,0
São Vicente do Seridó,PB,10848,4.94,536,3,0.03,0.56,5,0
Tacima,PB,10969,4.07,447,10,0.09,2.23,2,0
Taperoá,PB,15441,5.39,833,17,0.11,2.04,8,0
Tavares,PB,14759,6.75,997,19,0.13,1.90,1,0
Teixeira,PB,15248,6.56,1001,37,0.24,3.69,0,0
Tenório,PB,3081,4.32,133,2,0.06,1.49,0,0
Triunfo,PB,9464,11.13,1053,21,0.22,1.99,0,0
Uiraúna,PB,15300,5.41,828,29,0.19,3.50,3,0
Umbuzeiro,PB,9911,5.48,543,14,0.14,2.57,2,0
Vieirópolis,PB,5372,5.19,279,5,0.09,1.79,0,0
Vista Serrana,PB,3824,4.97,190,6,0.16,3.14,0,0
Várzea,PB,2841,4.57,130,1,0.04,0.76,0,0
Zabelê,PB,2255,6.52,147,1,0.04,0.68,0,0
Água Branca,PB,10306,10.85,1118,13,0.13,1.16,1,0
Abreu e Lima,PE,100346,3.30,3312,233,0.23,7.03,1,0
Afogados da Ingazeira,PE,37404,13.86,5183,73,0.20,1.41,1,0
Afrânio,PE,19810,4.89,969,15,0.08,1.55,0,0
Agrestina,PE,25065,6.93,1738,66,0.26,3.80,1,0
Alagoinha,PE,14718,9.42,1386,27,0.18,1.95,28,2
Aliança,PE,38397,1.75,673,62,0.16,9.20,1,0
Altinho,PE,22984,5.84,1342,28,0.12,2.08,0,0
Amaraji,PE,22870,2.84,649,47,0.21,7.23,0,0
Angelim,PE,11226,2.03,228,11,0.10,4.80,0,0
Araripina,PE,84864,8.66,7353,157,0.18,2.13,11,1
Araçoiaba,PE,20733,3.24,671,31,0.15,4.61,0,0
Arcoverde,PE,74822,9.11,6816,133,0.18,1.95,43,0
Barra de Guabiraba,PE,14510,3.05,442,16,0.11,3.61,0,0
Barreiros,PE,42764,1.86,794,63,0.15,7.92,0,0
Belo Jardim,PE,76687,5.64,4323,128,0.17,2.96,19,0
Belém de Maria,PE,12122,2.48,301,6,0.05,1.99,0,0
Belém do São Francisco,PE,20730,4.81,997,11,0.05,1.10,0,0
Betânia,PE,12765,3.96,505,17,0.13,3.36,0,0
Bezerros,PE,60880,6.37,3877,127,0.21,3.27,5,0
Bodocó,PE,38378,5.60,2148,41,0.11,1.91,2,1
Bom Conselho,PE,48767,4.66,2272,69,0.14,3.04,0,0
Bom Jardim,PE,39983,4.41,1765,70,0.18,3.96,0,0
Bonito,PE,38117,2.73,1042,43,0.11,4.12,1,0
Brejinho,PE,7488,10.80,809,21,0.28,2.59,0,0
Brejo da Madre de Deus,PE,51225,4.43,2269,51,0.10,2.25,2,0
Brejão,PE,8987,5.41,486,9,0.10,1.85,0,0
Buenos Aires,PE,13190,2.93,386,25,0.19,6.46,0,0
Buíque,PE,58919,4.24,2497,45,0.08,1.80,2,0
Cabo de Santo Agostinho,PE,208944,4.45,9307,509,0.24,5.47,9,1
Cabrobó,PE,34503,7.01,2419,27,0.08,1.12,7,0
Cachoeirinha,PE,20501,3.11,637,33,0.16,5.17,2,0
Caetés,PE,28904,5.72,1653,22,0.08,1.33,6,0
Calumbi,PE,5747,13.33,766,5,0.09,0.65,0,0
Calçado,PE,11018,4.90,540,6,0.05,1.11,0,0
Camaragibe,PE,158899,4.58,7271,427,0.27,5.87,15,0
Camocim de São Félix,PE,18900,3.04,574,19,0.10,3.30,0,0
Camutanga,PE,8572,10.10,866,26,0.30,3.00,0,0
Canhotinho,PE,24773,2.45,607,32,0.13,5.26,0,0
Capoeiras,PE,20048,6.67,1338,27,0.13,2.02,0,0
Carnaubeira da Penha,PE,13025,1.68,219,5,0.04,2.27,0,0
Carnaíba,PE,19609,12.94,2538,36,0.18,1.42,6,0
Carpina,PE,84395,5.19,4378,144,0.17,3.29,0,0
Caruaru,PE,365278,9.29,33942,702,0.19,2.07,56,0
Casinhas,PE,14368,3.01,432,12,0.08,2.77,0,0
Catende,PE,43340,2.99,1295,63,0.15,4.86,1,0
Cedro,PE,11891,15.67,1864,17,0.14,0.91,0,0
Chã Grande,PE,21815,2.27,496,30,0.14,6.04,0,0
Chã de Alegria,PE,13556,3.55,481,22,0.16,4.56,0,0
Condado,PE,26590,5.42,1442,40,0.15,2.77,2,0
Correntes,PE,18268,1.65,302,12,0.07,3.96,0,0
Cortês,PE,12560,1.86,234,17,0.14,7.23,0,0
Cumaru,PE,10192,5.85,596,21,0.21,3.52,0,0
Cupira,PE,24173,10.33,2497,48,0.20,1.92,2,0
Custódia,PE,37375,2.56,956,59,0.16,6.17,2,0
Dormentes,PE,19079,6.85,1307,8,0.04,0.61,4,0
Escada,PE,69292,1.33,923,98,0.14,10.61,0,0
Exu,PE,31766,13.94,4428,58,0.18,1.31,8,0
Feira Nova,PE,22247,7.01,1559,52,0.23,3.33,2,0
Fernando de Noronha,PE,3101,9.80,304,2,0.06,0.66,0,0
Ferreiros,PE,12170,8.51,1036,19,0.16,1.83,2,0
Flores,PE,22618,5.00,1130,36,0.16,3.18,3,0
Floresta,PE,33184,5.79,1923,28,0.08,1.46,0,0
Frei Miguelinho,PE,15546,8.44,1312,24,0.15,1.83,0,0
Gameleira,PE,31318,1.64,513,37,0.12,7.20,0,0
Garanhuns,PE,140577,10.16,14279,295,0.21,2.07,0,0
Glória do Goitá,PE,30751,3.83,1178,47,0.15,3.99,0,0
Goiana,PE,80055,9.33,7473,149,0.19,1.99,7,0
Granito,PE,7537,5.92,446,7,0.09,1.57,0,0
Gravatá,PE,84699,6.37,5396,146,0.17,2.71,3,0
Iati,PE,19241,4.20,808,19,0.10,2.35,1,0
Ibimirim,PE,29412,3.56,1046,27,0.09,2.58,8,0
Ibirajuba,PE,7768,3.63,282,10,0.13,3.53,0,0
Igarassu,PE,118370,3.43,4066,230,0.19,5.66,2,0
Iguaracy,PE,12247,6.94,850,28,0.23,3.29,0,0
Ilha de Itamaracá,PE,26672,4.71,1257,30,0.11,2.38,1,0
Inajá,PE,23645,2.01,476,13,0.05,2.73,0,0
Ingazeira,PE,4543,10.59,481,7,0.15,1.45,2,0
Ipojuca,PE,97669,3.51,3428,167,0.17,4.87,1,0
Ipubi,PE,31187,4.09,1277,64,0.21,5.01,1,0
Itacuruba,PE,4966,6.72,334,6,0.12,1.79,0,0
Itambé,PE,36471,4.28,1560,49,0.13,3.14,0,0
Itapetim,PE,13553,10.38,1407,32,0.24,2.27,4,0
Itapissuma,PE,26900,3.30,889,48,0.18,5.39,15,0
Itaquitinga,PE,17006,3.64,619,33,0.19,5.32,1,0
Itaíba,PE,26308,3.79,997,13,0.05,1.30,0,0
Jaboatão dos Guararapes,PE,706867,4.94,34912,1685,0.24,4.83,20,2
Jaqueira,PE,11644,2.91,339,15,0.13,4.41,0,0
Jataúba,PE,17228,6.34,1092,19,0.11,1.74,3,0
Jatobá,PE,14850,6.06,900,15,0.10,1.66,6,1
Joaquim Nabuco,PE,16011,3.17,507,28,0.17,5.51,0,0
João Alfredo,PE,33328,2.31,770,47,0.14,6.10,0,0
Jucati,PE,11485,6.19,711,12,0.10,1.69,0,0
Jupi,PE,14922,8.01,1196,21,0.14,1.75,2,0
Jurema,PE,15431,3.62,559,24,0.16,4.29,0,0
Lagoa Grande,PE,25849,6.77,1750,29,0.11,1.66,1,0
Lagoa de Itaenga,PE,21460,5.50,1180,31,0.14,2.62,1,0
Lagoa do Carro,PE,18252,6.69,1222,25,0.14,2.04,2,0
Lagoa do Ouro,PE,13224,4.07,538,13,0.10,2.41,1,0
Lagoa dos Gatos,PE,16318,4.49,733,11,0.07,1.50,8,0
Lajedo,PE,40589,6.18,2510,71,0.17,2.83,1,0
Limoeiro,PE,56198,5.67,3188,116,0.21,3.64,9,0
Macaparana,PE,25472,5.01,1275,34,0.13,2.66,0,0
Machados,PE,16321,4.23,690,19,0.12,2.75,0,0
Manari,PE,21776,2.05,447,6,0.03,1.34,0,0
Maraial,PE,11220,2.95,331,14,0.12,4.22,0,0
Mirandiba,PE,15470,5.91,914,18,0.12,1.97,0,0
Moreilândia,PE,11270,6.68,753,9,0.08,1.19,4,1
Moreno,PE,63294,3.09,1953,109,0.17,5.58,0,0
Nazaré da Mata,PE,32573,3.44,1120,79,0.24,7.05,0,0
Olinda,PE,393115,5.90,23212,972,0.25,4.19,39,1
Orobó,PE,23935,5.29,1266,28,0.12,2.21,0,0
Orocó,PE,15152,4.79,726,15,0.10,2.06,0,0
Ouricuri,PE,69969,4.53,3172,96,0.14,3.03,2,1
Palmares,PE,63500,6.45,4095,116,0.18,2.83,1,0
Palmeirina,PE,7600,3.07,233,9,0.12,3.85,0,0
Panelas,PE,26456,4.09,1083,31,0.12,2.86,1,0
Paranatama,PE,11566,4.39,508,17,0.15,3.34,0,0
Parnamirim,PE,22106,5.82,1286,35,0.16,2.72,1,0
Passira,PE,28894,5.01,1449,53,0.18,3.66,0,0
Paudalho,PE,56933,4.95,2818,106,0.19,3.76,2,0
Paulista,PE,334376,3.24,10818,785,0.23,7.26,9,2
Pedra,PE,22668,5.21,1180,31,0.14,2.62,0,0
Pesqueira,PE,67735,7.24,4905,116,0.17,2.36,1,0
Petrolina,PE,354317,8.45,29928,500,0.14,1.67,49,2
Petrolândia,PE,36901,5.03,1855,45,0.12,2.42,1,0
Pombos,PE,27148,6.90,1874,41,0.15,2.19,0,0
Poção,PE,11305,5.40,611,16,0.14,2.61,0,0
Primavera,PE,15101,2.11,318,20,0.13,6.27,0,0
Quipapá,PE,26175,2.79,731,15,0.06,2.05,0,0
Quixaba,PE,6805,8.01,545,14,0.21,2.56,0,0
Recife,PE,1653461,8.93,147650,5178,0.31,3.51,125,13
Riacho das Almas,PE,20646,6.11,1262,32,0.15,2.53,0,0
Ribeirão,PE,47616,1.02,488,78,0.16,15.95,0,0
Rio Formoso,PE,23628,4.37,1033,39,0.17,3.77,0,0
Sairé,PE,9764,5.95,581,9,0.09,1.55,0,0
Salgadinho,PE,11068,2.10,232,5,0.05,2.15,4,0
Salgueiro,PE,61249,12.75,7812,119,0.19,1.52,4,0
Saloá,PE,15862,4.32,686,24,0.15,3.49,0,0
Sanharó,PE,26890,5.43,1459,25,0.09,1.71,3,0
Santa Cruz,PE,15558,5.89,916,12,0.08,1.31,1,1
Santa Cruz da Baixa Verde,PE,12650,4.88,618,18,0.14,2.91,1,0
Santa Cruz do Capibaribe,PE,109897,7.93,8712,156,0.14,1.79,14,0
Santa Filomena,PE,14562,3.72,542,16,0.11,2.95,0,0
Santa Maria da Boa Vista,PE,42100,2.97,1251,18,0.04,1.44,0,0
Santa Maria do Cambucá,PE,14223,4.34,618,18,0.13,2.91,0,0
Santa Terezinha,PE,11865,8.62,1023,26,0.22,2.54,1,0
Serra Talhada,PE,86915,12.14,10548,176,0.20,1.67,12,1
Serrita,PE,19196,7.08,1360,25,0.13,1.84,79,0
Sertânia,PE,36050,8.51,3067,50,0.14,1.63,4,0
Sirinhaém,PE,46361,2.00,927,48,0.10,5.17,0,0
Solidão,PE,6021,11.57,697,3,0.05,0.43,0,0
Surubim,PE,65647,7.02,4611,90,0.14,1.95,0,0
São Benedito do Sul,PE,16069,2.33,374,17,0.11,4.53,1,0
São Bento do Una,PE,60042,4.98,2990,83,0.14,2.77,8,0
São Caitano,PE,37368,5.17,1932,75,0.20,3.88,5,0
São Joaquim do Monte,PE,21398,4.20,898,36,0.17,4.00,-1,0
São José da Coroa Grande,PE,21586,7.56,1632,41,0.19,2.51,0,0
São José do Belmonte,PE,34021,7.38,2511,58,0.17,2.31,1,0
São José do Egito,PE,34056,7.87,2681,55,0.16,2.05,4,0
São João,PE,22899,4.07,932,24,0.10,2.57,0,0
São Lourenço da Mata,PE,114079,3.77,4303,252,0.22,5.86,4,0
São Vicente Férrer,PE,18085,7.38,1335,33,0.18,2.47,0,0
Tabira,PE,28704,10.41,2987,46,0.16,1.54,7,0
Tacaimbó,PE,12859,4.11,528,10,0.08,1.89,0,0
Tacaratu,PE,26106,3.07,801,28,0.11,3.49,0,0
Tamandaré,PE,23623,3.14,741,34,0.14,4.58,0,0
Taquaritinga do Norte,PE,29127,2.64,770,24,0.08,3.11,1,0
Terezinha,PE,7198,7.75,558,8,0.11,1.43,2,0
Terra Nova,PE,10206,9.91,1012,14,0.14,1.38,0,0
Timbaúba,PE,52802,6.90,3646,109,0.21,2.99,1,0
Toritama,PE,46164,3.35,1548,46,0.10,2.97,0,0
Tracunhaém,PE,13813,1.87,259,24,0.17,9.23,0,0
Trindade,PE,30816,6.50,2003,58,0.19,2.89,3,0
Triunfo,PE,15243,6.47,987,21,0.14,2.13,1,0
Tupanatinga,PE,27551,3.54,976,9,0.03,0.92,2,0
Tuparetama,PE,8256,7.68,634,26,0.31,4.09,71,0
Venturosa,PE,18661,7.82,1459,33,0.18,2.26,0,0
